System ID,UPC,Limit,Buy,Get,Discount Name,Discount Taxable
210000047386,073893212300,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000224051,073893430063,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000224058,073893266051,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000224039,073893268062,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000224057,073893260103,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047153,073893177005,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047159,073893175001,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000173511,073893300120,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047332,073893299714,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000054718,073893263029,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047306,073893299516,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000054716,073893265023,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047152,073893177012,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047158,073893175018,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047366,073893299615,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000054715,073893264026,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000054728,073893266037,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047289,073893430100,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047298,073893299806,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047139,073893171010,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047265,073893268017,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000054724,073893260035,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000173510,073893300137,,1,,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000245445,073893020363,,1,1,"NutriSource | Buy 1, Get 1 FREE on Single Harvest Select Cans",True
210000245449,073893020370,,1,1,"NutriSource | Buy 1, Get 1 FREE on Single Harvest Select Cans",True
210000245447,073893020387,,1,1,"NutriSource | Buy 1, Get 1 FREE on Single Harvest Select Cans",True
210000069800,850001022064,5.0,"1: {'850001022026', '850001022064'}","2: {'855089008177', '855089008153', '855089008207'}",The Honest Kitchen | 2 FREE Toppers with a 10-20lb Whole Food Clusters for Dogs Purchase,True
210000069796,850001022026,5.0,"1: {'850001022026', '850001022064'}","2: {'855089008177', '855089008153', '855089008207'}",The Honest Kitchen | 2 FREE Toppers with a 10-20lb Whole Food Clusters for Dogs Purchase,True
210000051139,685038116956,,3,1,"Dave's Pet Food | Buy 3, Get 1 FREE on Stewlicious Dog Cans",True
210000081241,073893175070,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000082586,073893177074,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000086333,073893260073,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047331,073893299721,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000054719,073893263036,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000054717,073893265030,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047365,073893299622,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000070367,073893264033,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000054727,073893266044,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047280,073893299868,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047288,073893430117,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047297,073893299813,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047134,073893181026,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000054414,073893171027,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000047264,073893268024,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True
210000054723,073893260042,,,1,NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,True